Names
"Kelly, Mr. James"
"Case, Mr. Howard Brown"
"Demetri, Mr. Marinko"
"Lamb, Mr. John Joseph"
"Khalil, Mr. Betros"
"Barry, Miss. Julia"
"Badman, Miss. Emily Louisa"
"O'Donoghue, Ms. Bridget"
"Wells, Master. Ralph Lester"
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)"
"Pedersen, Mr. Olaf"
"Davidson, Mrs. Thornton (Orian Hays)"
"Guest, Mr. Robert"
"Birnbaum, Mr. Jakob"
"Tenglin, Mr. Gunnar Isidor"
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
"Makinen, Mr. Kalle Edvard"
"Braf, Miss. Elin Ester Maria"
"Nancarrow, Mr. William Henry"
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)"
"Weisz, Mr. Leopold"
"Foley, Mr. William"
"Johansson Palmquist, Mr. Oskar Leander"
"Thomas, Mrs. Alexander (Thamine Thelma"")"""
"Holthen, Mr. Johan Martin"
"Buckley, Mr. Daniel"
"Ryan, Mr. Edward"
"Willer, Mr. Aaron (Abi Weller"")"""
"Swane, Mr. George"
"Stanton, Mr. Samuel Ward"
"Shine, Miss. Ellen Natalia"
"Evans, Miss. Edith Corse"
"Buckley, Miss. Katherine"
"Straus, Mrs. Isidor (Rosalie Ida Blun)"
"Chronopoulos, Mr. Demetrios"
"Thomas, Mr. John"
"Sandstrom, Miss. Beatrice Irene"
"Beattie, Mr. Thomson"
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)"
"Watt, Miss. Bertha J"
"Kiernan, Mr. John"
"Schabert, Mrs. Paul (Emma Mock)"
"Carver, Mr. Alfred John"
"Kennedy, Mr. John"
"Cribb, Miss. Laura Alice"
"Brobeck, Mr. Karl Rudolf"
"McCoy, Miss. Alicia"
"Bowenur, Mr. Solomon"
"Petersen, Mr. Marius"
"Spinner, Mr. Henry John"
"Gracie, Col. Archibald IV"
"Lefebre, Mrs. Frank (Frances)"
"Thomas, Mr. Charles P"
"Dintcheff, Mr. Valtcho"
"Carlsson, Mr. Carl Robert"
"Zakarian, Mr. Mapriededer"
"Schmidt, Mr. August"
"Drapkin, Miss. Jennie"
"Goodwin, Mr. Charles Frederick"
"Goodwin, Miss. Jessie Allis"
"Daniels, Miss. Sarah"
"Ryerson, Mr. Arthur Larned"
"Beauchamp, Mr. Henry James"
"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")"""
"Vander Planke, Mr. Julius"
"Hilliard, Mr. Herbert Henry"
"Davies, Mr. Evan"
"Crafton, Mr. John Bertram"
"Lahtinen, Rev. William"
"Earnshaw, Mrs. Boulton (Olive Potter)"
"Matinoff, Mr. Nicola"
"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)"
"Asplund, Master. Filip Oscar"
"Duquemin, Mr. Joseph"
"Bird, Miss. Ellen"
"Lundin, Miss. Olga Elida"
"Borebank, Mr. John James"
"Peacock, Mrs. Benjamin (Edith Nile)"
"Smyth, Miss. Julia"
"Touma, Master. Georges Youssef"
"Wright, Miss. Marion"
"Pearce, Mr. Ernest"
"Peruschitz, Rev. Joseph Maria"
"Kink-Heilmann, Mrs. Anton (Luise Heilmann)"
"Brandeis, Mr. Emil"
"Ford, Mr. Edward Watson"
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)"
"Hellstrom, Miss. Hilda Maria"
"Lithman, Mr. Simon"
"Zakarian, Mr. Ortin"
"Dyker, Mr. Adolf Fredrik"
"Torfa, Mr. Assad"
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson"
"Brown, Miss. Edith Eileen"
"Sincock, Miss. Maude"
"Stengel, Mr. Charles Emil Henry"
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)"
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
"McCrie, Mr. James Matthew"
"Compton, Mr. Alexander Taylor Jr"
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)"
"Lane, Mr. Patrick"
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
"Maybery, Mr. Frank Hubert"
"Phillips, Miss. Alice Frances Louisa"
"Davies, Mr. Joseph"
"Sage, Miss. Ada"
"Veal, Mr. James"
"Angle, Mr. William A"
"Salomon, Mr. Abraham L"
"van Billiard, Master. Walter John"
"Lingane, Mr. John"
"Drew, Master. Marshall Brines"
"Karlsson, Mr. Julius Konrad Eugen"
"Spedden, Master. Robert Douglas"
"Nilsson, Miss. Berta Olivia"
"Baimbrigge, Mr. Charles Robert"
"Rasmussen, Mrs. (Lena Jacobsen Solvang)"
"Murphy, Miss. Nora"
"Danbom, Master. Gilbert Sigvard Emanuel"
"Astor, Col. John Jacob"
"Quick, Miss. Winifred Vera"
"Andrew, Mr. Frank Thomas"
"Omont, Mr. Alfred Fernand"
"McGowan, Miss. Katherine"
"Collett, Mr. Sidney C Stuart"
"Rosenbaum, Miss. Edith Louise"
"Delalic, Mr. Redjo"
"Andersen, Mr. Albert Karvin"
"Finoli, Mr. Luigi"
"Deacon, Mr. Percy William"
"Howard, Mrs. Benjamin (Ellen Truelove Arman)"
"Andersson, Miss. Ida Augusta Margareta"
"Head, Mr. Christopher"
"Mahon, Miss. Bridget Delia"
"Wick, Mr. George Dennick"
"Widener, Mrs. George Dunton (Eleanor Elkins)"
"Thomson, Mr. Alexander Morrison"
"Duran y More, Miss. Florentina"
"Reynolds, Mr. Harold J"
"Cook, Mrs. (Selena Rogers)"
"Karlsson, Mr. Einar Gervasius"
"Candee, Mrs. Edward (Helen Churchill Hungerford)"
"Moubarek, Mrs. George (Omine Amenia"" Alexander)"""
"Asplund, Mr. Johan Charles"
"McNeill, Miss. Bridget"
"Everett, Mr. Thomas James"
"Hocking, Mr. Samuel James Metcalfe"
"Sweet, Mr. George Frederick"
"Willard, Miss. Constance"
"Wiklund, Mr. Karl Johan"
"Linehan, Mr. Michael"
"Cumings, Mr. John Bradley"
"Vendel, Mr. Olof Edvin"
"Warren, Mr. Frank Manley"
"Baccos, Mr. Raffull"
"Hiltunen, Miss. Marta"
"Douglas, Mrs. Walter Donald (Mahala Dutton)"
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
"Christy, Mrs. (Alice Frances)"
"Spedden, Mr. Frederic Oakley"
"Hyman, Mr. Abraham"
"Johnston, Master. William Arthur Willie"""""
"Kenyon, Mr. Frederick R"
"Karnes, Mrs. J Frank (Claire Bennett)"
"Drew, Mr. James Vivian"
"Hold, Mrs. Stephen (Annie Margaret Hill)"
"Khalil, Mrs. Betros (Zahie Maria"" Elias)"""
"West, Miss. Barbara J"
"Abrahamsson, Mr. Abraham August Johannes"
"Clark, Mr. Walter Miller"
"Salander, Mr. Karl Johan"
"Wenzel, Mr. Linhart"
"MacKay, Mr. George William"
"Mahon, Mr. John"
"Niklasson, Mr. Samuel"
"Bentham, Miss. Lilian W"
"Midtsjo, Mr. Karl Albert"
"de Messemaeker, Mr. Guillaume Joseph"
"Nilsson, Mr. August Ferdinand"
"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)"""
"Klasen, Miss. Gertrud Emilia"
"Portaluppi, Mr. Emilio Ilario Giuseppe"
"Lyntakoff, Mr. Stanko"
"Chisholm, Mr. Roderick Robert Crispin"
"Warren, Mr. Charles William"
"Howard, Miss. May Elizabeth"
"Pokrnic, Mr. Mate"
"McCaffry, Mr. Thomas Francis"
"Fox, Mr. Patrick"
"Clark, Mrs. Walter Miller (Virginia McDowell)"
"Lennon, Miss. Mary"
"Saade, Mr. Jean Nassr"
"Bryhl, Miss. Dagmar Jenny Ingeborg"
"Parker, Mr. Clifford Richard"
"Faunthorpe, Mr. Harry"
"Ware, Mr. John James"
"Oxenham, Mr. Percy Thomas"
"Oreskovic, Miss. Jelka"
"Peacock, Master. Alfred Edward"
"Fleming, Miss. Honora"
"Touma, Miss. Maria Youssef"
"Rosblom, Miss. Salli Helena"
"Dennis, Mr. William"
"Franklin, Mr. Charles (Charles Fardon)"
"Snyder, Mr. John Pillsbury"
"Mardirosian, Mr. Sarkis"
"Ford, Mr. Arthur"
"Rheims, Mr. George Alexander Lucien"
"Daly, Miss. Margaret Marcella Maggie"""""
"Nasr, Mr. Mustafa"
"Dodge, Dr. Washington"
"Wittevrongel, Mr. Camille"
"Angheloff, Mr. Minko"
"Laroche, Miss. Louise"
"Samaan, Mr. Hanna"
"Loring, Mr. Joseph Holland"
"Johansson, Mr. Nils"
"Olsson, Mr. Oscar Wilhelm"
"Malachard, Mr. Noel"
"Phillips, Mr. Escott Robert"
"Pokrnic, Mr. Tome"
"McCarthy, Miss. Catherine Katie"""""
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
"Allison, Mr. Hudson Joshua Creighton"
"Aks, Master. Philip Frank"
"Hays, Mr. Charles Melville"
"Hansen, Mrs. Claus Peter (Jennie L Howard)"
"Cacic, Mr. Jego Grga"
"Vartanian, Mr. David"
"Sadowitz, Mr. Harry"
"Carr, Miss. Jeannie"
"White, Mrs. John Stuart (Ella Holmes)"
"Hagardon, Miss. Kate"
"Spencer, Mr. William Augustus"
"Rogers, Mr. Reginald Harry"
"Jonsson, Mr. Nils Hilding"
"Jefferys, Mr. Ernest Wilfred"
"Andersson, Mr. Johan Samuel"
"Krekorian, Mr. Neshan"
"Nesson, Mr. Israel"
"Rowe, Mr. Alfred G"
"Kreuchen, Miss. Emilie"
"Assam, Mr. Ali"
"Becker, Miss. Ruth Elizabeth"
"Rosenshine, Mr. George (Mr George Thorne"")"""
"Clarke, Mr. Charles Valentine"
"Enander, Mr. Ingvar"
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)"
"Dulles, Mr. William Crothers"
"Thomas, Mr. Tannous"
"Nakid, Mrs. Said (Waika Mary"" Mowad)"""
"Cor, Mr. Ivan"
"Maguire, Mr. John Edward"
"de Brito, Mr. Jose Joaquim"
"Elias, Mr. Joseph"
"Denbury, Mr. Herbert"
"Betros, Master. Seman"
"Fillbrook, Mr. Joseph Charles"
"Lundstrom, Mr. Thure Edvin"
"Sage, Mr. John George"
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
"van Billiard, Master. James William"
"Abelseth, Miss. Karen Marie"
"Botsford, Mr. William Hull"
"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)"
"Giles, Mr. Ralph"
"Walcroft, Miss. Nellie"
"Greenfield, Mrs. Leo David (Blanche Strouse)"
"Stokes, Mr. Philip Joseph"
"Dibden, Mr. William"
"Herman, Mr. Samuel"
"Dean, Miss. Elizabeth Gladys Millvina"""""
"Julian, Mr. Henry Forbes"
"Brown, Mrs. John Murray (Caroline Lane Lamson)"
"Lockyer, Mr. Edward"
"O'Keefe, Mr. Patrick"
"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)"
"Sage, Master. William Henry"
"Mallet, Mrs. Albert (Antoinette Magnin)"
"Ware, Mrs. John James (Florence Louise Long)"
"Strilic, Mr. Ivan"
"Harder, Mrs. George Achilles (Dorothy Annan)"
"Sage, Mrs. John (Annie Bullen)"
"Caram, Mr. Joseph"
"Riihivouri, Miss. Susanna Juhantytar Sanni"""""
"Gibson, Mrs. Leonard (Pauline C Boeson)"
"Pallas y Castello, Mr. Emilio"
"Giles, Mr. Edgar"
"Wilson, Miss. Helen Alice"
"Ismay, Mr. Joseph Bruce"
"Harbeck, Mr. William H"
"Dodge, Mrs. Washington (Ruth Vidaver)"
"Bowen, Miss. Grace Scott"
"Kink, Miss. Maria"
"Cotterill, Mr. Henry Harry"""""
"Hipkins, Mr. William Edward"
"Asplund, Master. Carl Edgar"
"O'Connor, Mr. Patrick"
"Foley, Mr. Joseph"
"Risien, Mrs. Samuel (Emma)"
"McNamee, Mrs. Neal (Eileen O'Leary)"
"Wheeler, Mr. Edwin Frederick"""""
"Herman, Miss. Kate"
"Aronsson, Mr. Ernst Axel Algot"
"Ashby, Mr. John"
"Canavan, Mr. Patrick"
"Palsson, Master. Paul Folke"
"Payne, Mr. Vivian Ponsonby"
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)"
"Abbott, Master. Eugene Joseph"
"Gilbert, Mr. William"
"Kink-Heilmann, Mr. Anton"
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)"
"Colbert, Mr. Patrick"
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)"
"Larsson-Rondberg, Mr. Edvard A"
"Conlon, Mr. Thomas Henry"
"Bonnell, Miss. Caroline"
"Gale, Mr. Harry"
"Gibson, Miss. Dorothy Winifred"
"Carrau, Mr. Jose Pedro"
"Frauenthal, Mr. Isaac Gerald"
"Nourney, Mr. Alfred (Baron von Drachstedt"")"""
"Ware, Mr. William Jeffery"
"Widener, Mr. George Dunton"
"Riordan, Miss. Johanna Hannah"""""
"Peacock, Miss. Treasteall"
"Naughton, Miss. Hannah"
"Minahan, Mrs. William Edward (Lillian E Thorpe)"
"Henriksson, Miss. Jenny Lovisa"
"Spector, Mr. Woolf"
"Oliva y Ocana, Dona. Fermina"
"Saether, Mr. Simon Sivertsen"
"Ware, Mr. Frederick"
"Peter, Master. Michael J"
